Id,day,TotalSteps,TotalMinutesAsleep,avg_hr,min_hr,load
1,2026-01-05,9117,461,91.34782608695652,61.0,0.0
1,2026-01-06,8270,473,87.86363636363636,61.0,1.0
1,2026-01-07,8047,449,87.26086956521739,61.0,1.0
1,2026-01-08,8437,456,88.65217391304348,62.0,2.0
1,2026-01-09,9152,461,91.33333333333333,62.0,2.0
1,2026-01-10,5837,470,79.625,60.0,0.0
1,2026-01-11,5664,462,78.54166666666667,58.0,0.0
1,2026-01-12,9304,463,92.45833333333333,63.0,1.0
1,2026-01-13,8761,445,89.47619047619048,61.0,0.0
1,2026-01-14,8459,458,89.14285714285714,64.0,2.0
1,2026-01-15,8611,452,89.91304347826087,60.0,2.0
1,2026-01-16,9327,456,93.0909090909091,62.0,1.0
1,2026-01-17,5570,467,77.08333333333333,53.0,0.0
1,2026-01-18,5761,480,78.1304347826087,57.0,0.0
1,2026-01-19,9326,449,92.08695652173913,63.0,1.0
1,2026-01-20,9102,455,91.81818181818181,60.0,2.0
1,2026-01-21,15628,428,119.80952380952381,71.0,2.0
1,2026-01-22,15632,433,116.16666666666667,68.0,2.0
1,2026-01-23,15495,424,115.08333333333333,70.0,2.0
1,2026-01-24,5426,463,78.65217391304348,59.0,0.0
1,2026-01-25,5766,460,78.34782608695652,58.0,0.0
1,2026-01-26,9449,455,90.86363636363636,61.0,0.0
1,2026-01-27,9631,454,91.82608695652173,63.0,2.0
1,2026-01-28,9408,457,92.81818181818181,62.0,2.0
1,2026-01-29,9565,456,91.95454545454545,62.0,0.0
1,2026-01-30,9266,454,91.83333333333333,62.0,1.0
1,2026-01-31,5118,473,76.20833333333333,58.0,0.0
1,2026-02-01,5575,483,78.17391304347827,57.0,0.0
1,2026-02-02,8958,454,91.1304347826087,61.0,2.0
1,2026-02-03,8729,457,,,1.0
2,2026-01-05,4694,444,84.29166666666667,56.0,1.0
2,2026-01-06,4473,434,82.25,55.0,1.0
2,2026-01-07,4637,427,82.0,56.0,2.0
2,2026-01-08,4783,435,83.375,56.0,0.0
2,2026-01-09,4706,423,84.1304347826087,55.0,2.0
2,2026-01-10,2841,431,69.56521739130434,51.0,0.0
2,2026-01-11,3143,430,73.5,53.0,0.0
2,2026-01-12,5530,441,89.95652173913044,56.0,1.0
2,2026-01-13,5411,426,88.54545454545455,57.0,2.0
2,2026-01-14,5608,446,88.73913043478261,57.0,2.0
2,2026-01-15,5335,436,86.77272727272727,56.0,1.0
2,2026-01-16,5387,438,87.04761904761905,55.0,2.0
2,2026-01-17,3020,433,71.1304347826087,53.0,0.0
2,2026-01-18,2793,433,70.43478260869566,53.0,0.0
2,2026-01-19,5115,437,86.33333333333333,55.0,2.0
2,2026-01-20,5080,407,86.14285714285714,56.0,2.0
2,2026-01-21,5134,423,85.0,55.0,2.0
2,2026-01-22,4966,433,85.9090909090909,57.0,1.0
2,2026-01-23,5264,427,86.52173913043478,57.0,2.0
2,2026-01-24,3260,433,71.9090909090909,53.0,0.0
2,2026-01-25,3171,447,72.91666666666667,51.0,0.0
2,2026-01-26,5341,425,87.56521739130434,55.0,1.0
2,2026-01-27,5394,426,87.95454545454545,55.0,0.0
2,2026-01-28,5269,410,86.66666666666667,54.0,2.0
2,2026-01-29,5161,432,86.65217391304348,57.0,2.0
2,2026-01-30,5021,427,84.26086956521739,56.0,2.0
2,2026-01-31,2850,435,70.0,51.0,0.0
2,2026-02-01,3062,447,72.21739130434783,54.0,0.0
2,2026-02-02,4846,439,84.91304347826087,56.0,1.0
2,2026-02-03,4762,436,,,1.0
3,2026-01-05,11183,429,90.79166666666667,61.0,2.0
3,2026-01-06,10813,411,88.69565217391305,60.0,1.0
3,2026-01-07,11127,402,91.43478260869566,62.0,1.0
3,2026-01-08,9851,416,85.91304347826087,61.0,0.0
3,2026-01-09,9876,415,86.43478260869566,60.0,2.0
3,2026-01-10,6751,428,77.0,57.0,0.0
3,2026-01-11,7351,430,80.6,59.0,0.0
3,2026-01-12,12157,418,93.6086956521739,65.0,1.0
3,2026-01-13,12145,422,92.83333333333333,62.0,1.0
3,2026-01-14,12128,408,93.9090909090909,64.0,2.0
