feature,importance
steps_std_7d,0.044753653731324616
steps_change_7v30,0.021945133437334265
resting_hr_change_7v30,0.01730572641457697
sleep_change_7v30,0.012306649840818884
very_active_mean_7d,0.011849075129968478
steps_std_30d,0.011185616506098329
calories_mean_7d,0.004378754040454758
very_active_mean_30d,0.003946644313235781
sleep_std_7d,0.003043694768680305
height_cm,0.002975317617352602
position,0.0028781409286107616
steps_mean_30d,0.002614871135834773
avg_hr_mean_7d,0.0024415436784569256
min_hr_mean_30d,0.002111693115468982
min_hr_mean_7d,0.002025197718409799
sport,0.0019257985018831137
age,0.0018782886816397614
weight_kg_baseline,0.0016553759868437102
steps_std_14d,0.0014842424713730762
n_sessions_sum_30d,0.0013396756515103748
team_id,0.0011567477035206442
min_hr_mean_14d,0.0011490756080855813
sleep_deficit_7d,0.0009292806022917599
calories_mean_30d,0.0007213590423022608
load_sum_30d,0.0006969458818615104
steps_mean_7d,0.0006311931957101891
avg_hr_mean_30d,0.000621926124388017
max_hr_mean_30d,0.0006128997125572022
max_hr_mean_7d,0.000517954252960573
sleep_mean_7d,0.000416500399355213
sleep_mean_14d,0.00039454401989704737
max_hr_mean_14d,0.00035905876611482814
n_sessions_sum_14d,0.0003217873475292454
gender,0.00028171377555306074
sleep_std_30d,0.0002308295613864253
sleep_mean_30d,0.00019780493455032744
n_sessions_sum_7d,8.020026389908841e-05
sedentary_mean_7d,0.0
load_mean_7d,0.0
sedentary_mean_14d,0.0
load_mean_14d,0.0
load_mean_30d,0.0
sedentary_mean_30d,0.0
dominant_side,-0.0002646760791990332
load_change_7v30,-0.00027861126841086656
load_sum_14d,-0.0002912078907501781
prior_season_injury_count,-0.00029611695561628795
avg_hr_mean_14d,-0.000537236648333439
time_in_bed_mean_14d,-0.000582875352957224
time_in_bed_mean_30d,-0.0006548584238430632
years_playing,-0.0009057570174105911
very_active_mean_14d,-0.0009695969901975188
load_sum_7d,-0.0010743363036812559
steps_mean_14d,-0.0011851988748926789
time_in_bed_mean_7d,-0.0012342839078079981
acwr,-0.0014201203971536235
calories_mean_14d,-0.001986479438439592
sleep_std_14d,-0.004043394484459862
